issue_id,priority,severity,wcag_2_2,user_impact,affected_url_or_component,reproduction_steps,source_location,fix_or_required_action,owner,status,retest_result
A11Y-001,P1,Serious,"1.4.3 Contrast (Minimum); 1.4.11 Non-text Contrast","Low-vision users may be unable to read muted, clay, or bronze text.","26 of 27 canonical pages; shared text tokens and contextual variants","Run axe-core on the sitemap URLs and inspect color-contrast failures.","css/style.css; blog/blog.css; newsletter/newsletter.css; neighborhoods/neighborhoods.css","Created higher-contrast text tokens and context-specific dark/light overrides; added stable backgrounds to photo credits.",Codex,Fixed in source,"Baseline: 280 nodes. Retest: 0 axe violations on 27 pages; human rendered-state review pending."
A11Y-002,P0,Critical,"2.1.1 Keyboard; 2.4.3 Focus Order; 4.1.2 Name Role Value","Keyboard and screen-reader users encounter invisible mobile navigation links.","Sitewide mobile header/navigation","At 390 CSS px with the menu closed, Tab from the menu button and inspect the accessibility tree.","js/script.js; css/style.css","Apply inert and aria-hidden while closed; inert the page behind the open menu; synchronize on breakpoint changes.",Codex,Fixed in source,"Playwright keyboard test passes; independent screen-reader test pending."
A11Y-003,P1,Serious,"2.1.1 Keyboard; 2.1.2 No Keyboard Trap; 2.4.3 Focus Order","Mobile menu users cannot use the expected Escape command or predict focus after close.","Sitewide mobile header/navigation","Open menu with keyboard, press Escape, inspect expanded state and focus.","js/script.js","Added Escape close, label/state updates, and focus return to the trigger.",Codex,Fixed in source,"Playwright Escape and focus-return assertions pass."
A11Y-004,P1,Serious,"2.2.2 Pause Stop Hide","Automatically changing reviews can disrupt reading and concentration.","Home-page testimonial carousel","Observe the carousel for more than three seconds; request reduced motion; look for a pause control.","index.html; js/script.js; css/style.css","Added pause/play control and stopped auto-advance under reduced motion, hover, focus, or hidden document state.",Codex,Fixed in source,"Reduced-motion test confirms no advance after 3.3 seconds; manual AT labels pending."
A11Y-005,P1,Serious,"4.1.2 Name Role Value","A linked portrait was nested inside role=img, obscuring or invalidating the interactive child.","Home-page newsletter portrait","Run axe nested-interactive rule or inspect the role tree.","index.html","Removed role=img from the interactive container and retained an accessible text description.",Codex,Fixed in source,"axe nested-interactive rule passes."
A11Y-006,P2,Minor,"4.1.2 Name Role Value","Testimonial figures used a role that was not permitted for that element.","Home-page testimonial slides","Run axe aria-allowed-role rule.","index.html; css/style.css","Changed slide wrappers to div role=group and replaced figcaption with a paragraph attribution.",Codex,Fixed in source,"axe aria-allowed-role rule passes."
A11Y-007,P1,Serious,"2.4.7 Focus Visible; 2.4.11 Focus Not Obscured (Minimum)","Keyboard users can lose track of focus, especially in forms.","Sitewide controls; contact and newsletter forms","Tab through controls and inspect the rendered focus outline.","css/style.css","Added a 3px light outline plus 6px dark outer ring with override protection.",Codex,Fixed in source,"Computed-style browser assertion passes; independent visual check at zoom pending."
A11Y-008,P0,Critical,"3.3.1 Error Identification; 3.3.2 Labels or Instructions; 3.3.3 Error Suggestion; 4.1.3 Status Messages","Users may not know which required fields failed or whether a form is submitting.","Home contact form and newsletter signup, including invalid/loading/success states","Submit empty, enter invalid email, correct fields, submit valid data, and reach confirmation.","index.html; newsletter/index.html; js/script.js; css/style.css; newsletter/newsletter.css","Added visible required instructions, linked error summary, field errors, invalid/describedby states, live status, and accessible confirmation routes.",Codex,Fixed in source,"Both complete production-like browser workflows pass; live Netlify delivery and human screen-reader retest pending."
A11Y-009,P1,Serious,"2.4.1 Bypass Blocks; 2.4.3 Focus Order","Activating a skip link scrolls but may not move keyboard focus.","All 27 canonical pages","Focus and activate the first skip link, then inspect activeElement.","js/script.js; page templates","Give the destination tabindex=-1 and focus it after activation.",Codex,Fixed in source,"Browser test confirms activeElement is the main landmark."
A11Y-010,P1,Serious,"1.3.1 Info and Relationships; 1.1.1 Non-text Content; 2.4.2 Page Titled; 3.1.1 Language of Page","The relocation guide may have no usable semantic reading order for screen-reader users.","/freebies/pdfs/los-angeles-relocation-guide.pdf","Inspect document catalog for tags/title/language; test with PDF checker and screen reader.","freebies/pdfs/los-angeles-relocation-guide.pdf; guides/index.html","Remediate the source PDF or publish an equivalent accessible HTML and tagged PDF; keep the direct alternative-format request while open.",Owner + PDF specialist,Open,"Static inspection found 13 pages but no StructTreeRoot, Marked=true, Lang, or Title. Guides page now discloses the limitation and provides an accessible email request; human PDF audit remains open."
A11Y-011,P1,Potential serious,"1.3.1 Info and Relationships; 1.1.1 Non-text Content; 2.4.2 Page Titled; 3.1.1 Language of Page","Tagged markers alone do not prove correct headings, reading order, alt text, lists, or contrast.","Seven other PDFs in /freebies/pdfs/","Run a qualified PDF accessibility checker and complete task-based screen-reader/keyboard review.","freebies/pdfs/*.pdf","Correct tags, reading order, headings, lists, alternate text, metadata, and contrast or provide accessible HTML alternatives.",Owner + PDF specialist,Open,"Seven files show basic tags/title/language markers; full human/PDF-tool audit remains open."
A11Y-012,P1,Validation gap,"All applicable Level A and AA criteria","Automation cannot validate meaning, announcements, reading order, voice control, or real assistive-technology usability.","Final production site and complete critical journeys","Run the manual QA matrix with NVDA, macOS VoiceOver, and iPhone VoiceOver.","docs/accessibility/manual-qa.md","Independent audit and remediation retest using the specified environments.",Independent auditor,Open,"No independent human screen-reader evidence yet; no conformance claim permitted."
A11Y-013,P1,Validation gap,"1.4.4 Resize Text; 1.4.10 Reflow; 1.4.12 Text Spacing; 2.5.8 Target Size (Minimum)","Users who zoom, enlarge spacing, or use touch may encounter clipping or hard-to-hit controls not caught by axe.","All templates and critical processes","Test 200% text resize, 320 CSS-pixel reflow, prescribed text spacing, and mobile touch targets.","Sitewide CSS and templates","Automate reflow; complete human text-resize, spacing, clipping, focus-obscuration, and target exception review.",Codex + independent auditor,Partially verified,"All 27 pages pass automated 320px reflow; remaining human visual/touch checks open."
A11Y-014,P1,Vendor risk,"4.1.2 Name Role Value and all journey-applicable criteria","Essential form processing or embedded map/vendor experiences may introduce barriers outside repository control.","Netlify Forms, Google Maps, Compass/RSR/listing handoffs","Test deployed form delivery and vendor interfaces; request current ACR/VPAT where relevant.","docs/accessibility/third-party-register.md","Keep evidence, escalate vendor defects, and maintain email/phone fallback for essential tasks.",Owner + vendors,Open,"Repository integration tested; current vendor ACRs, support tickets, and live AT retest not yet obtained."
